source_project_id,target_project_id,source_node,target_node,overlap_start,overlap_end,edge_type
51_0115_19910726_1_1,51_2004_19881201_1_1,51_0115,51_2004,1991-07-26,1998-06-07,project_conflict
51_0115_19910726_1_1,51_2004_19980607_2_1,51_0115,51_2004,1998-06-07,2008-10-01,project_conflict
51_0115_19910726_1_1,51_2004_20040601_3_1,51_0115,51_2004,2004-06-01,2008-10-01,project_conflict
51_0115_20041001_2_1,51_2004_19980607_2_1,51_0115,51_2004,2004-10-01,2008-10-01,project_conflict
51_0115_20041001_2_1,51_2004_20040601_3_1,51_0115,51_2004,2004-10-01,2008-10-01,project_conflict
51_0116_19910726_1_1,51_2004_19881201_1_1,51_0116,51_2004,1991-07-26,1998-06-07,project_conflict
51_0116_19910726_1_1,51_2004_19980607_2_1,51_0116,51_2004,1998-06-07,2008-10-01,project_conflict
51_0116_19910726_1_1,51_2004_20040601_3_1,51_0116,51_2004,2004-06-01,2008-10-01,project_conflict
51_0116_20041001_2_1,51_2004_19980607_2_1,51_0116,51_2004,2004-10-01,2008-10-01,project_conflict
51_0116_20041001_2_1,51_2004_20040601_3_1,51_0116,51_2004,2004-10-01,2008-10-01,project_conflict
51_0124_19910726_1_1,51_2004_19881201_1_1,51_0124,51_2004,1991-07-26,1998-06-07,project_conflict
51_0124_19910726_1_1,51_2004_19980607_2_1,51_0124,51_2004,1998-06-07,2008-10-01,project_conflict
51_0124_19910726_1_1,51_2004_20040601_3_1,51_0124,51_2004,2004-06-01,2008-10-01,project_conflict
51_0124_20041001_2_1,51_2004_19980607_2_1,51_0124,51_2004,2004-10-01,2008-10-01,project_conflict
51_0124_20041001_2_1,51_2004_20040601_3_1,51_0124,51_2004,2004-10-01,2008-10-01,project_conflict
51_0123_19910726_1_1,51_2004_19881201_1_1,51_0123,51_2004,1991-07-26,1998-06-07,project_conflict
51_0123_19910726_1_1,51_2004_19980607_2_1,51_0123,51_2004,1998-06-07,2008-10-01,project_conflict
51_0123_19910726_1_1,51_2004_20040601_3_1,51_0123,51_2004,2004-06-01,2008-10-01,project_conflict
51_0123_20041001_2_1,51_2004_19980607_2_1,51_0123,51_2004,2004-10-01,2008-10-01,project_conflict
51_0123_20041001_2_1,51_2004_20040601_3_1,51_0123,51_2004,2004-10-01,2008-10-01,project_conflict
51_0122_19910726_1_1,51_2004_19881201_1_1,51_0122,51_2004,1991-07-26,1998-06-07,project_conflict
