source,target,edge_type,distance_km,overlap_change_years,corr_change,overlap_level_years,corr_level
30_0508,30_7088,spatial,1.0349521959122605,7,0.9199474018085824,8,0.3559833394009254
30_0509,30_7088,spatial,1.2156235030632438,7,0.751934279727524,8,0.3065233155942049
30_0805,30_0806,spatial,0.246874648932676,21,0.4352456207986083,22,0.9573037820358518
30_0901,30_0903,spatial,0.3383186679495067,10,0.17237566048088318,11,0.7159532823484485
30_0901,30_0902,spatial,0.6695162489327529,10,0.48797776096055817,11,0.9350556712932196
30_0122,30_0901,spatial,1.2010651814451516,10,0.45018280868093585,11,0.9154928991543093
30_0120,30_0901,spatial,1.405626386913128,10,-0.37882565693027603,11,0.9027195946105318
30_0119,30_0901,spatial,1.626388884899082,10,0.2789895119896753,11,0.703978288674458
30_0123,30_0901,spatial,1.8264346083228595,10,0.5392241047678025,11,0.4549652130138967
30_0124,30_0901,spatial,2.0496306347615323,10,0.6100248422197051,11,0.7402098124963544
30_0902,30_0903,spatial,0.3312001194680553,10,-0.06795224085816061,11,0.8081671135300215
30_0123,30_0902,spatial,1.156929762241911,10,0.3631029271398208,11,0.23131703556160552
30_0124,30_0902,spatial,1.3801256027554938,10,0.3938696575030286,11,0.5595428528278988
30_0119,30_0903,spatial,1.2880761203590338,10,0.011890226878506579,11,0.13944085335183282
30_0123,30_0903,spatial,1.4881272163916632,10,-0.2404198565442975,11,-0.24834098712591218
30_0124,30_0903,spatial,1.711323285959033,10,-0.09768863150713059,11,0.132009894312404
30_A310,30_A320,spatial,0.838154370816758,4,-0.788313151279014,5,0.6787559683542315
30_A310,30_A330,spatial,1.0509135845032551,4,0.8660254037844385,5,0.9622504486493764
30_A310,30_A350,spatial,1.29455537425631,4,,5,
30_A320,30_A330,spatial,0.2127682664647739,4,-0.5664290680368046,5,0.5590566114682521
30_A320,30_A350,spatial,0.4564020924131295,4,,5,
30_A330,30_A350,spatial,0.2436453808431452,4,,5,
31_1030,31_A310,spatial,0.7606395747230598,3,,4,
31_1030,31_A320,spatial,1.156673785961385,3,,4,
31_1030,31_A330,spatial,1.4918020653465152,3,,4,
31_1030,31_A340,spatial,1.950085195289296,3,,4,
